field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
HHSV			GUI_ALARMS	"Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH			GUI_ALARMS	"High Alarm Limit"		TRUE	1				
HIHI			GUI_ALARMS	"Hihi Alarm Limit"		TRUE	1				
HOPR			GUI_DISPLAY	"High Operating Rng"			1				
HSV			GUI_ALARMS	"High Severity"		TRUE	1				menuAlarmSevr
HYST			GUI_ALARMS	"Alarm Deadband"			1				
I			GUI_COMMON	"Value of Input I"		TRUE					
IAAV		"1"		"INAA PV Status"	SPC_NOMOD		1				scalcoutINAV
IBBV		"1"		"INBB PV Status"	SPC_NOMOD		1				scalcoutINAV
ICCV		"1"		"INCC PV Status"	SPC_NOMOD		1				scalcoutINAV
IDDV		"1"		"INDD PV Status"	SPC_NOMOD		1				scalcoutINAV
IEEV		"1"		"INEE PV Status"	SPC_NOMOD		1				scalcoutINAV
IFFV		"1"		"INFF PV Status"	SPC_NOMOD		1				scalcoutINAV
IGGV		"1"		"INGG PV Status"	SPC_NOMOD		1				scalcoutINAV
IHHV		"1"		"INHH PV Status"	SPC_NOMOD		1				scalcoutINAV
II			GUI_COMMON	"Value of string input II"		TRUE	4		40		
IIIV		"1"		"INII PV Status"	SPC_NOMOD		1				scalcoutINAV
IJJV		"1"		"INJJ PV Status"	SPC_NOMOD		1				scalcoutINAV
IKKV		"1"		"INKK PV Status"	SPC_NOMOD		1				scalcoutINAV
ILLV		"1"		"INLL PV Status"	SPC_NOMOD		1				scalcoutINAV
INAA			GUI_CALC	"String input AA"	SPC_MOD		1				
INAV		"1"		"INPA PV Status"	SPC_NOMOD		1				scalcoutINAV
INBB			GUI_CALC	"String input BB"	SPC_MOD		1				
INBV		"1"		"INPB PV Status"	SPC_NOMOD		1				scalcoutINAV
INCC			GUI_CALC	"String input CC"	SPC_MOD		1				
INCV		"1"		"INPC PV Status"	SPC_NOMOD		1				scalcoutINAV
INDD			GUI_CALC	"String input DD"	SPC_MOD		1				
INDV		"1"		"INPD PV Status"	SPC_NOMOD		1				scalcoutINAV
INEE			GUI_CALC	"String input EE"	SPC_MOD		1				
INEV		"1"		"INPE PV Status"	SPC_NOMOD		1				scalcoutINAV
INFF			GUI_CALC	"String input FF"	SPC_MOD		1				
INFV		"1"		"INPF PV Status"	SPC_NOMOD		1				scalcoutINAV
INGG			GUI_CALC	"String input GG"	SPC_MOD		1				
INGV		"1"		"INPG PV Status"	SPC_NOMOD		1				scalcoutINAV
INHH			GUI_CALC	"String input HH"	SPC_MOD		1				
INHV		"1"		"INPH PV Status"	SPC_NOMOD		1				scalcoutINAV
INII			GUI_CALC	"String input II"	SPC_MOD		1				
INIV		"1"		"INPI PV Status"	SPC_NOMOD		1				scalcoutINAV
INJJ			GUI_CALC	"String input JJ"	SPC_MOD		1				
INJV		"1"		"INPJ PV Status"	SPC_NOMOD		1				scalcoutINAV
INKK			GUI_CALC	"String input KK"	SPC_MOD		1				
INKV		"1"		"INPK PV Status"	SPC_NOMOD		1				scalcoutINAV
INLL			GUI_CALC	"String input LL"	SPC_MOD		1				
INLV		"1"		"INPL PV Status"	SPC_NOMOD		1				scalcoutINAV
INPA			GUI_CALC	"Input A"	SPC_MOD		1				
INPB			GUI_CALC	"Input B"	SPC_MOD		1				
INPC			GUI_CALC	"Input C"	SPC_MOD		1				
INPD			GUI_CALC	"Input D"	SPC_MOD		1				
INPE			GUI_CALC	"Input E"	SPC_MOD		1				
INPF			GUI_CALC	"Input F"	SPC_MOD		1				
INPG			GUI_CALC	"Input G"	SPC_MOD		1				
INPH			GUI_CALC	"Input H"	SPC_MOD		1				
INPI			GUI_CALC	"Input I"	SPC_MOD		1				
INPJ			GUI_CALC	"Input J"	SPC_MOD		1				
INPK			GUI_CALC	"Input K"	SPC_MOD		1				
INPL			GUI_CALC	"Input L"	SPC_MOD		1				
IVOA			GUI_OUTPUT	"INVALID output action"			2				menuIvoa
IVOV			GUI_OUTPUT	"INVALID output value"			2				
J			GUI_COMMON	"Value of Input J"		TRUE					
JJ			GUI_COMMON	"Value of string input JJ"		TRUE	4		40		
K			GUI_COMMON	"Value of Input K"		TRUE					
KK			GUI_COMMON	"Value of string input KK"		TRUE	4		40		
L			GUI_COMMON	"Value of Input L"		TRUE					
LALM				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT				"Lock Count"	SPC_NOMOD		2				
LL			GUI_COMMON	"Value of string input LL"		TRUE	4		40		
LLSV			GUI_ALARMS	"Lolo Severity"		TRUE	1				menuAlarmSevr
LOLO			GUI_ALARMS	"Lolo Alarm Limit"		TRUE	1				
LOPR			GUI_DISPLAY	"Low Operating Range"			1				
LOW			GUI_ALARMS	"Low Alarm Limit"		TRUE	1				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LSV			GUI_ALARMS	"Low Severity"		TRUE	1				menuAlarmSevr
MDEL			GUI_DISPLAY	"Monitor Deadband"			1				
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST				"Last Val Monitored"	SPC_NOMOD		3				
NAME				"Record Name"	SPC_NOMOD				61		
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
OCAL			GUI_CALC	"Output Calculation"	SPC_MOD	TRUE			36		
OCLV				"OCAL Valid"			1				
ODLY	ASL0		GUI_ALARMS	"Output Execute Delay"			1				
OEVT	ASL0		GUI_CLOCK	"Event To Issue"							
OOPT			GUI_CALC	"Output Execute Opt"			1				scalcoutOOPT
ORPC				"Reverse Polish OCalc"	SPC_NOMOD		4			"char     orpc[240]"	
OSV	ASL0			"Output string value"					40		
OUT			GUI_OUTPUT	"Output Link"	SPC_MOD		1				
OUTV				"OUT PV Status"	SPC_NOMOD		1				scalcoutINAV
OVAL	ASL0			"Output Value"							
PA				"Prev Value of A"	SPC_NOMOD		3				
PAA				"Prev Value of AA"	SPC_DBADDR		4		4	"char *paa"	
PACT				"Record active"	SPC_NOMOD		1				
PB				"Prev Value of B"	SPC_NOMOD		3				
PBB				"Prev Value of BB"	SPC_DBADDR		4		4	"char *pbb"	
PC				"Prev Value of C"	SPC_NOMOD		3				
PCC				"Prev Value of CC"	SPC_DBADDR		4		4	"char *pcc"	
PD				"Prev Value of D"	SPC_NOMOD		3				
PDD				"Prev Value of DD"	SPC_DBADDR		4		4	"char *pdd"	
PE				"Prev Value of E"	SPC_NOMOD		3				
PEE				"Prev Value of EE"	SPC_DBADDR		4		4	"char *pee"	
PF				"Prev Value of F"	SPC_NOMOD		3				
PFF				"Prev Value of FF"	SPC_DBADDR		4		4	"char *pff"	
PG				"Prev Value of G"	SPC_NOMOD		3				
PGG				"Prev Value of GG"	SPC_DBADDR		4		4	"char *pgg"	
PH				"Prev Value of H"	SPC_NOMOD		3				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PHH				"Prev Value of HH"	SPC_DBADDR		4		4	"char *phh"	
PI				"Prev Value of I"	SPC_NOMOD		3				
PII				"Prev Value of II"	SPC_DBADDR		4		4	"char *pii"	
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
PJ				"Prev Value of J"	SPC_NOMOD		3				
PJJ				"Prev Value of JJ"	SPC_DBADDR		4		4	"char *pjj"	
PK				"Prev Value of K"	SPC_NOMOD		3				
PKK				"Prev Value of KK"	SPC_DBADDR		4		4	"char *pkk"	
PL				"Prev Value of L"	SPC_NOMOD		3				
PLL				"Prev Value of LL"	SPC_DBADDR		4		4	"char *pll"	
POSV				"Previous output string value"	SPC_NOMOD				40		
POVL	ASL0			"Prev Value of OVAL"							
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PREC			GUI_DISPLAY	"Display Precision"			1				
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
PSVL				"Previous string result"	SPC_NOMOD				40		
PUTF				"dbPutField process"	SPC_NOMOD		1				
PVAL				"Previous Value"							
RDES				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RPCL				"Reverse Polish Calc"	SPC_NOMOD		4			"char     rpcl[240]"	
RPRO				"Reprocess "	SPC_NOMOD		1				
RPVT				"Record Private"	SPC_NOMOD		4		4	"void *rpvt"	
RSET				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
SCAN			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDIS			GUI_SCAN	"Scanning Disable"			1				
SEVR		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SPVT				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
STRS				"Array of string pointers"			4		4	"char **strs"	
SVAL	ASL0			"String result"					40		
TIME				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO				"Trace Processing"							
TSE			GUI_SCAN	"Time Stamp Event"			1				
TSEL			GUI_SCAN	"Time Stamp Link"			1				
UDF		"1"	GUI_COMMON	"Undefined"		TRUE	1				
VAL	ASL0			"Result"							
VERS		"1"		"Code Version"	SPC_NOMOD						
WAIT				"Wait for completion?"			1				scalcoutWAIT
